Squadra,Nome,Squadra_Appartenenza,Ruolo,Ruoli_Mantra,Prezzo,Quotazione,Quotazione_Mantra,Fantacalcio_Id
"Mirko","Traorè Hj.","GEN","C","W,T",4,5,5,2857
"Mirko","Ondrejka","PAR","C","W,A",3,5,4,6984
"Mirko","Malen","ROM","A","Pc",203,34,34,5585
"Mirko","Mendy P.","CAG","A","Pc",5,4,3,7374
"Mirko","Noslin","LAZ","A","A",10,6,6,6556
"Mirko","Sulemana K.","ATA","A","A",1,6,6,5918
"Salvatori","Maignan","MIL","P","Por",78,15,15,4312
"Salvatori","Terracciano","MIL","P","Por",1,1,1,2815
"Salvatori","Torriani","MIL","P","Por",4,1,1,6813
"Salvatori","Ismajli","TOR","D","Dc",16,7,7,5010
"Salvatori","Siebert","LEC","D","Dc",14,4,4,7240
"Salvatori","Hermoso","ROM","D","Dc",23,10,10,4807
"Salvatori","Kempf","COM","D","Dc",16,5,5,6893
"Salvatori","Circati","PAR","D","Dc",16,6,6,6663
"Salvatori","Idzes","SAS","D","Dc",24,7,7,6672
"Salvatori","Ostigard","GEN","D","Dc",21,11,11,5750
"Salvatori","Ghilardi","ROM","D","Dc",10,4,4,6631
"Salvatori","Kouadio","MON","D","Dc,Dd",6,3,3,7238
"Salvatori","Carlos Augusto","INT","D","B,Ds,E",21,7,8,5877
"Salvatori","Zanoli","UDI","D","Dd,E",1,4,4,5527
"Salvatori","Pedersen","TOR","D","Dd,E",14,5,5,6426
"Salvatori","Cacciamani","TOR","C","E,W",15,5,6,7060
"Salvatori","Saelemaekers","MIL","C","E,W",25,10,11,4892
"Salvatori","El Aynaoui","ROM","C","M,C",11,4,5,6271
"Salvatori","Deiola","CAG","C","M,C",1,3,3,1871
"Salvatori","Pobega","BOL","C","M,C",5,6,7,5298
"Salvatori","Amondarain","BOL","C","M,C",6,5,6,7528
"Salvatori","El Azzouzi A.","FRO","C","M,C",3,1,1,7456
"Salvatori","Jashari","MIL","C","C",4,4,4,7203
"Salvatori","Da Cunha","COM","C","C,T",37,18,18,5559
"Salvatori","Felici","CAG","C","W",2,5,4,6640
"Salvatori","Rowe","BOL","C","W,T",31,11,11,6844
"Salvatori","Addai","COM","C","W,A",2,5,4,7127
"Salvatori","Diao","COM","A","W,A",49,11,12,6967
"Salvatori","N'Dri","LEC","A","W,A",5,3,4,7001
"Salvatori","Elphege","PAR","A","Pc",3,3,3,7342
"Salvatori","Adorante","VEN","A","Pc",6,5,4,4387
"Salvatori","Pellegrino M.","PAR","A","Pc",30,15,15,7023
"Triboli","Mascardi","TOR","P","Por",4,1,1,7457
"Triboli","Paleari","TOR","P","Por",17,1,1,5320
"Triboli","Gollini","ROM","P","Por",3,1,1,610
"Triboli","Pavlovic","MIL","D","Dc",31,14,14,5022
"Triboli","Buongiorno","NAP","D","Dc",9,7,7,2724
"Triboli","Jean","LEC","D","Dc",1,2,2,6883
"Triboli","Gelli J.","FRO","D","Dc",3,1,1,7468
